id,nome,ano,sinopse,genero
248,Holocausto Canibal,1980,"O filme conta a história de quatro documentaristas de tribos que embrenham-se na selva para filmar indígenas. Dois meses mais tarde, depois que o...",Terror
249,Velozes & Furiosos 10,2023,Dom Toretto enfrenta seu maior desafio até agora: a corrida para salvar a família de um inimigo cheio de rancor e fúria no volante.,Ação
250,Invocação do Mal,2013,"Harrisville, Rhode Island, Estados Unidos, 1968. Os investigadores paranormais Ed e Lorraine Warren trabalham para ajudar uma família aterrorizada...",Terror
251,Wildcat,2025,"Ada, uma ex-agente de operações especiais de elite, é forçada a sair da aposentadoria quando sua filha de oito anos é sequestrada por uma...",Ação
252,Shang-Chi e a Lenda dos Dez Anéis,2021,"Shang-Chi precisa confrontar o passado que pensou ter deixado para trás. Ao mesmo tempo, ele é envolvido em uma teia de mistérios da organização...",Ação
253,Toy Story: Um Mundo de Aventuras,1995,"Buzz Lightyear é o novo e sofisticado astronauta de brinquedo do garoto Andy. Buzz não imaginava que encontraria um rival: Woody, um cowboy de...",Família
254,A Perfect Ending,2012,"Este drama íntimo segue Rebecca, uma mulher que manteve sua sexualidade em segredo de seus amigos, mas escolhe revelá-la a um estranho. Embora as...",Drama
255,A Criada,2016,"Coreia do Sul, anos 1930. Durante a ocupação japonesa, a jovem Sookee é contratada para trabalhar para uma herdeira nipônica, Hideko, que leva uma...",Suspense
256,Viva: A Vida é uma Festa,2017,"Apesar da desconcertante proibição da música imposta pela sua família há várias gerações, Miguel sonha em tornar-se um músico de sucesso como o...",Família
257,Harry Potter e as Relíquias da Morte - Parte 2,2011,"No final épico, a batalha entre as forças do bem e do mal no mundo da bruxaria toma proporções de uma guerra mundial. As apostas nunca foram tão...",Aventura
258,Baahubali: The Epic,2025,"Um guerreiro lendário surge de origens humildes para desafiar forças poderosas que ameaçam sua terra natal, à medida que antigas profecias e laços...",Ação
259,Homem de Ferro 3,2013,"Depois de um inimigo reduzir o mundo de Tony Stark a destroços, o Homem de Ferro precisa aprender a confiar em seus instintos para proteger...",Ação
260,Cinquenta Tons de Cinza,2015,"Anastasia Steele (Dakota Johnson) é uma estudante de literatura de 21 anos, recatada e virgem. Uma dia ela deve entrevistar para o jornal da...",Drama
261,Operação Big Hero,2014,"O grande robô inflável está sempre a postos para cuidar de Hiro Hamada. Quando algo devastador assola a cidade, o menino prodígio, seus amigos e o...",Aventura
262,Invasão Zumbi,2016,A Coreia do Sul decreta estado de emergência após um vírus desconhecido tomar conta do país. Algumas pessoas tentam fugir de zumbis e ficam presas...,Terror
263,Harry Potter e o Cálice de Fogo,2005,"Em seu 4º ano na Escola de Magia e Bruxaria de Hogwards, Harry Potter é misteriosamente selecionado para participar do Torneio Tribruxo, uma...",Aventura
264,Up: Altas Aventuras,2009,"Carl Fredricksen é um vendedor de balões que, aos 78 anos, está prestes a perder a casa em que sempre viveu com sua esposa, a falecida Ellie. Após...",Animação
265,Velozes & Furiosos 10,2023,Dom Toretto enfrenta seu maior desafio até agora: a corrida para salvar a família de um inimigo cheio de rancor e fúria no volante.,Ação
266,Tróia,2004,"Quando Páris, o príncipe de Troia, se apaixona por Helena, rainha de Esparta, o rei inicia uma guerra de anos entre os dois reinos. Para vencer,...",Guerra
267,Anônimo 2,2025,"O pai suburbano Hutch Mansell, ex-assassino letal, é levado de volta ao seu passado violento depois de impedir uma invasão domiciliar,...",Ação
268,Toy Story: Um Mundo de Aventuras,1995,"Buzz Lightyear é o novo e sofisticado astronauta de brinquedo do garoto Andy. Buzz não imaginava que encontraria um rival: Woody, um cowboy de...",Família
269,Ratatouille,2007,"Remy, morador de Paris, aprecia boa comida e tem um paladar bastante sofisticado. Ele adoraria se tornar um chef para poder criar e desfrutar de...",Animação
270,Dhurandhar,2025,"No início da década de 2000, um policial se infiltra nas gangues do submundo criminoso de Karachi para desmantelar um grupo violento.",Ação
271,A Múmia,1999,"Em 1926, um grupo de arqueólogos descobre uma tumba na cidade perdida de Hamunaptra. Dentro da tumba é encontrado o corpo de Imhotep, o sacerdote...",Aventura
272,Logan,2017,"Em um futuro próximo, um cansado Logan cuida do doente Professor Xavier em um esconderijo na fronteira mexicana. Mas as tentativas de Logan de se...",Ação
273,Liga da Justiça de Zack Snyder,2021,"Determinado a garantir que o sacrifício final do Superman não foi em vão, Bruce Wayne alinha forças com Diana Prince com planos de recrutar uma...",Ação
274,Piratas do Caribe: O Baú da Morte,2006,"Will e Elizabeth estão prestes a se casar quando o lendário pirata Davy Jones, comandante do invencível navio assombrado O Holandês Voador,...",Aventura
275,Os Sete Samurais,1954,"Um bando de bandidos aterroriza os habitantes de uma pequena cidade, saqueando-os periodicamente sem piedade. Para repelir estes ataques, os...",Ação
276,Sua Culpa,2024,"O amor entre Noah e Nick aparenta ser inabalável, apesar das tentativas de seus pais de separá-los. Mas o emprego dele, e a entrada dela na...",Drama
277,"Se Beber, Não Case!",2009,"Dois dias antes de seu casamento, Doug e três amigos vão de carro até Las Vegas para uma louca e memorável despedida de solteiro. Quando os três...",Comédia
278,A Maldição de Cathy,1977,"Um homem leva esposa e filha para morar na casa onde foi criado. No sótão, a menina encontra foto de tia morta na infância e estranha boneca, que...",Terror
279,Chamas da Vingança,2004,"Uma grande onda de sequestros e criminalidade varre a Cidade do México, fazendo com que muitos de seus cidadãos mais ricos contratem guarda-costas...",Ação
280,Gato de Botas 2: O Último Pedido,2022,"O Gato de Botas descobre que sua paixão pela aventura cobrou seu preço: ele queimou oito de suas nove vidas, deixando-o com apenas uma vida...",Animação
281,Homem-Aranha: Longe de Casa,2019,"Peter Parker está em uma viagem de duas semanas pela Europa, ao lado de seus amigos de colégio, quando é surpreendido pela visita de Nick Fury....",Ação
282,Thunderbolts*,2025,"Depois de se verem presos em uma armadilha mortal, uma equipe não convencional de sete anti-heróis deve embarcar em uma missão perigosa que os...",Ação
283,Invocação do Mal,2013,"Harrisville, Rhode Island, Estados Unidos, 1968. Os investigadores paranormais Ed e Lorraine Warren trabalham para ajudar uma família aterrorizada...",Terror
284,A Colega Perfeita,2026,"Devon acabou de entrar na faculdade. Celeste é popular e confiante. Quando as duas resolvem morar juntas, a amizade se transforma em uma...",Comédia
285,A Criada,2016,"Coreia do Sul, anos 1930. Durante a ocupação japonesa, a jovem Sookee é contratada para trabalhar para uma herdeira nipônica, Hideko, que leva uma...",Suspense
286,O Show de Truman: O Show da Vida,1998,Truman Burbank é um pacato vendedor de seguros que leva um vida simples com sua esposa Meryl Burbank. Porém algumas coisas ao seu redor fazem com...,Comédia
287,Cinquenta Tons de Liberdade,2018,"Superados os principais problemas, Anastasia e Christian agora têm amor, intimidade, dinheiro, sexo, relacionamento estável e um promissor futuro....",Drama
288,Corajosa 3,2026,"A destemida policial Shivani Shivaji Roy está de volta para derrubar uma quadrilha impiedosa, responsável por sequestrar mais de 90 meninas na Índia.",Ação
289,Garota Exemplar,2014,"Amy Dunne desaparece no dia do seu aniversário de casamento, deixando o marido Nick em apuros. Ele começa a agir descontroladamente, abusando das...",Mistério
290,Diário de uma Paixão,2004,"Na década de 40, o operário Noah Calhoun e a rica Allie estão desesperadamente apaixonados, mas os pais da jovem não aprovam o namoro. Quando Noah...",Romance
291,Shang-Chi e a Lenda dos Dez Anéis,2021,"Shang-Chi precisa confrontar o passado que pensou ter deixado para trás. Ao mesmo tempo, ele é envolvido em uma teia de mistérios da organização...",Ação
292,Cruella,2021,"Na Londres dos anos 70 em meio à revolução do punk rock, Estella, uma garota inteligente e criativa determinada a fazer um nome para si através de...",Comédia
293,Venom: A Última Rodada,2024,"Eddie e Venom estão fugindo. Perseguidos pelos dois mundos, a dupla é forçada a tomar uma decisão devastadora que vai fechar as cortinas da última...",Ficção
294,O Espetacular Homem-Aranha 2: A Ameaça de Electro,2014,"O jovem Peter Parker está fascinado com as habilidades que adquiriu como Homem-Aranha. Agora, ele precisa lidar com dois problemas: o retorno de...",Ação
295,Deadpool,2016,"Depois de passar por um experimento desonesto que lhe concede um fator de cura acelerado, mas desfigura seu rosto, o ex-agente das Forças...",Ação
296,Robô Selvagem,2024,"Um robô – unidade ROZZUM 7134, abreviadamente “Roz” – naufraga em uma ilha desabitada e deve aprender a se adaptar ao ambiente hostil,...",Família
297,Meu Malvado Favorito,2010,"Um homem que adora todas as coisas diabólicas, o supervilão Gru traça um plano para roubar a lua. Rodeado de um exército de pequenos ajudantes e...",Animação
298,Wildcat,2025,"Ada, uma ex-agente de operações especiais de elite, é forçada a sair da aposentadoria quando sua filha de oito anos é sequestrada por uma...",Ação
299,Fogo Contra Fogo,1995,"O ladrão obsessivo Neil McCauley lidera uma equipe de primeira linha em vários assaltos ousados ​​por Los Angeles, enquanto o determinado detetive...",Crime
300,Nuremberg,2025,Um psiquiatra dos Estados Unidos é designado para examinar 22 oficiais nazistas que aguardam julgamento por crimes de guerra. À medida que ele se...,História
301,Godzilla e Kong: O Novo Império,2024,"O poderoso Kong e o temível Godzilla se unem contra uma colossal ameaça mortal escondida no mundo dos humanos, que ameaça a existência de sua...",Ação
302,O Hobbit: Uma Jornada Inesperada,2012,"Como a maioria dos hobbits, Bilbo Bolseiro leva uma vida tranquila até o dia em que recebe uma missão do mago Gandalf. Acompanhado por um grupo de...",Aventura
303,A Perfect Ending,2012,"Este drama íntimo segue Rebecca, uma mulher que manteve sua sexualidade em segredo de seus amigos, mas escolhe revelá-la a um estranho. Embora as...",Drama
304,Infiltrado,2021,"Harry, conhecido apenas como H, é um homem misterioso que trabalha para uma empresa de carros-fortes e movimenta grandes quantias de dinheiro pela...",Suspense
305,Psicose,1960,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro,...",Terror
306,Crepúsculo,2008,"Isabella Swan é uma adolescente que vai morar com seu pai em uma nova cidade depois que sua mãe decide casar-se novamente. No colégio, ela fica...",Fantasia
307,Venom: A Última Rodada,2024,"Eddie e Venom estão fugindo. Perseguidos pelos dois mundos, a dupla é forçada a tomar uma decisão devastadora que vai fechar as cortinas da última...",Ficção
308,O Espetacular Homem-Aranha,2012,Peter Parker está tentando saber mais sobre sua origem. Ele encontra uma pasta que pertenceu ao seu pai e quer descobrir por que seus pais...,Ação
309,A Revolução dos Bichos,2026,"Um movimento pela igualdade é sistematicamente corrompido. À medida que os porcos consolidam o controle, a verdade é apagada e a fazenda se...",Animação
310,Amnésia,2000,Leonard está caçando o homem que estuprou e matou sua esposa. Ele tem dificuldades em encontrar o assassino pois sofre de uma forma intratável de...,Mistério
311,Adão Negro,2022,"Quase 5.000 anos depois de ter sido concedido com os poderes onipotentes dos deuses egípcios - e de ter sido preso, - Adão Negro se ergue de seu...",Ação
312,O Primata,2026,"A universitária Lucy vai passar férias em casa com a família e aproveita a ausência do pai para organizar uma festa na piscina. Durante o evento,...",Terror
313,Jogador N° 1,2018,"Num futuro distópico, situado em 2044, Wade Watts, como o resto da humanidade, prefere a realidade virtual do jogo OASIS ao mundo real. No jogo,...",Aventura
314,American Pie: A Primeira Vez é Inesquecível,1999,"Jim Kevin, Oz e Finch são quatro amigos às vésperas do baile de formatura de escola. Entre tentativas frustradas de fazer sexo com as namoradas,...",Comédia
315,O Homem que Encolheu,2025,"Acompanha um homem ordinário que divide seu tempo entre sua empresa de construção de navios, sua mulher e sua filha. Durante uma campanha no mar,...",Aventura
316,Até o Último Homem,2016,"Desmond T. Doss, foi o médico do Exército Americano da Segunda Guerra Mundial, que serviu durante a Batalha de Okinawa, se recusando a matar...",Drama
317,Loucamente Por Você,2025,"Alisa muda-se para um apartamento espaçoso em São Petersburgo, onde o espelho começa a funcionar mal, mostrando ao jovem inquilino uma realidade...",Comédia
318,Up: Altas Aventuras,2009,"Carl Fredricksen é um vendedor de balões que, aos 78 anos, está prestes a perder a casa em que sempre viveu com sua esposa, a falecida Ellie. Após...",Animação
319,Segundas Intenções,1999,"Sem querer, Annette passa a ser objeto de um diabólico jogo sexual para os irmãos de criação Sebastian e Kathryn ao escrever um artigo na revista...",Drama
320,O Predador,1987,"O major Alan ""Dutch"" Schaefer lidera uma equipe de resgate em uma selva da América Central, para tentar encontrar um ministro estrangeiro e...",Ficção
321,A Única Saída,2025,"Um homem é demitido da empresa de papel onde trabalhou por 25 anos. Algum tempo depois, ainda desempregado, encontra uma solução: eliminar...",Comédia
322,Toy Story 2,1999,"Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy...",Animação
323,Godzilla e Kong: O Novo Império,2024,"O poderoso Kong e o temível Godzilla se unem contra uma colossal ameaça mortal escondida no mundo dos humanos, que ameaça a existência de sua...",Ação
324,O Telefone Preto 2,2025,"Quatro anos após escapar de The Grabber, Finney Blake luta com sua vida após o cativeiro. Quando sua irmã Gwen começa a receber ligações em sonhos...",Terror
325,O Exterminador do Futuro,1984,"Em um futuro próximo, a guerra entre humanos e máquinas foi iniciada. Com a tecnologia a seu dispor, um plano inusitado é arquitetado pelas...",Ação
326,Carros 2,2011,"O astro das corridas, Relâmpago McQueen, e o carro-guincho, Mate, viajam para disputar o primeiro Grand Prix Mundial, que irá revelar o carro mais...",Animação
327,Vingadores: Doutor Destino,2026,"Os Vingadores, Wakandanos, Quarteto Fantástico, Thunderbolts e X-Men lutam contra o Doutor Destino. Enredo a ser definido.",Ficção
328,A Proposta,2009,"Margaret Tate é uma poderosa editora de livros, que se vê em apuros ao ser comunicada de sua deportação para o país-natal, o Canadá. Para evitar...",Comédia
329,A Meia-Irmã Feia,2025,"Elvira, meia-irmã de Cinderela, vive com a família em um poderoso reino onde poucas coisas são tão importantes quanto a beleza. Ela recorre a...",Terror
330,Homem de Ferro 3,2013,"Depois de um inimigo reduzir o mundo de Tony Stark a destroços, o Homem de Ferro precisa aprender a confiar em seus instintos para proteger...",Ação
331,Capitão América: Guerra Civil,2016,"Depois do ataque de Ultron, os políticos decidem controlar os Vingadores, já que suas ações afetam toda a humanidade. A decisão coloca o Capitão...",Aventura
332,O Hobbit: Uma Jornada Inesperada,2012,"Como a maioria dos hobbits, Bilbo Bolseiro leva uma vida tranquila até o dia em que recebe uma missão do mago Gandalf. Acompanhado por um grupo de...",Aventura
333,O Show de Truman: O Show da Vida,1998,Truman Burbank é um pacato vendedor de seguros que leva um vida simples com sua esposa Meryl Burbank. Porém algumas coisas ao seu redor fazem com...,Comédia
334,Toy Story 2,1999,"Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy...",Animação
335,Matador de Aluguel,2024,"Um ex lutador de UFC aceita um trabalho como segurança em uma taberna em Florida Keys, apenas para descobrir que este não é o paraíso que parecia ser.",Ação
336,O Protetor,2014,"O ex-agente secreto Robert McCall acredita que seu passado ficou para trás e tenta viver uma nova vida. Porém, quando ele conhece Teri, uma jovem...",Suspense
337,It: A Coisa,2017,"Na cidade de Derry, no Maine, sete jovens se juntam para combater uma criatura sobrenatural que está assombrando a sua cidade por séculos. Chamado...",Terror
338,Batman: O Cavaleiro das Trevas Ressurge,2012,"Após ser culpado pela morte de Harvey Dent e passar de herói a vilão, Batman desaparece. As coisas mudam com a chegada de uma ladra misteriosa, a...",Ação
339,A Morte do Demônio: A Ascensão,2023,"Duas irmãs distantes cujo reencontro é interrompido por demônios devoradores de carne que aparecem de repente, levando-as a uma batalha primal...",Terror
340,Maze Runner: Correr ou Morrer,2014,"Num cenário pós-apocalíptico, uma comunidade de rapazes descobre que estão presos num labirinto misterioso. Juntos, terão de descobrir como...",Ação
341,Thunderbolts*,2025,"Depois de se verem presos em uma armadilha mortal, uma equipe não convencional de sete anti-heróis deve embarcar em uma missão perigosa que os...",Ação
342,Thunderbolts*,2025,"Depois de se verem presos em uma armadilha mortal, uma equipe não convencional de sete anti-heróis deve embarcar em uma missão perigosa que os...",Ação
343,A Caixa Azul,2026,"Pablo, um jovem milionário recluso que vive na Patagônia, ainda é assombrado por um trágico acidente de carro que mudou sua vida. Sua rotina...",Romance
344,Meu Malvado Favorito,2010,"Um homem que adora todas as coisas diabólicas, o supervilão Gru traça um plano para roubar a lua. Rodeado de um exército de pequenos ajudantes e...",Animação
345,Peça-me o Que Quiser,2024,"Após a morte de seu pai, Eric Zimmerman viaja para a Espanha para supervisionar as filiais de sua empresa. Em Madri, ele se apaixona por Judith e...",Romance
346,Carros,2006,"Ao viajar para a Califórnia, o famoso carro de corridas Relâmpago McQueen se perde e vai parar em Radiator Springs, uma cidadezinha na Rota 66....",Animação
347,Pantera Negra,2018,"O príncipe T'Challa retorna a Wakanda para ser coroado rei. Assumindo o manto de Pantera Negra, ele vai à caça de um vilão que roubou um precioso...",Ação
348,Caminho de Pedras,1993,"Amontoados num velho carro, "" a tribo dos Lacey "" - como Frances Lacey costumava chamar sua família - parte para um destino incerto, tendo como...",Drama
349,Todo Mundo em Pânico,2000,"Depois do assassinato de uma bela colega de classe, um grupo de adolescentes desorientados descobre que há um assassino entre eles. A heroína...",Comédia
350,Adão Negro,2022,"Quase 5.000 anos depois de ter sido concedido com os poderes onipotentes dos deuses egípcios - e de ter sido preso, - Adão Negro se ergue de seu...",Ação
351,Guardiões da Galáxia - Vol. 2,2017,"Os Guardiões precisam lutar para manter sua recém descoberta família unida, enquanto descobrem os mistérios sobre o verdadeiro pai de Peter Quill.",Ficção
352,Deadpool,2016,"Depois de passar por um experimento desonesto que lhe concede um fator de cura acelerado, mas desfigura seu rosto, o ex-agente das Forças...",Ação
353,A Longa Marcha: Caminhe ou Morra,2025,"Um grupo de adolescentes compete em uma competição anual conhecida como ""A Longa Marcha"", onde eles devem manter uma certa velocidade de caminhada...",Ficção
354,Harry Potter e as Relíquias da Morte - Parte 2,2011,"No final épico, a batalha entre as forças do bem e do mal no mundo da bruxaria toma proporções de uma guerra mundial. As apostas nunca foram tão...",Aventura
355,Red: Crescer é Uma Fera,2022,"Mei, de treze anos, está experimentando a estranheza de ser uma adolescente com uma reviravolta – quando ela fica muito animada, ela se transforma...",Animação
356,Nouvelle Vague,2025,"Acontece de tudo nos bastidores das filmagens de Acossado, de Jean-Luc Godard, um marco do movimento cinematográfico francês Nouvelle Vague.",Comédia
357,Branca de Neve,2025,"Quando a Rainha Má manda matarem sua enteada por inveja de sua beleza, Branca de Neve foge do reino. Ela percorre a floresta e acha uma casinha...",Família
358,Guerra Mundial Z,2013,Um vírus letal se espalha rapidamente e transforma seres humanos em zumbis. O ex-agente da ONU Gerry Lane é chamado para investigar a epidemia que...,Ação
359,A Era do Gelo,2002,"Vinte mil anos atrás, num mundo coberto de gelo, o mamute Manfred e a preguiça Sid resgatam um bebê humano órfão. Agora, os dois vão enfrentar...",Animação
360,Logan,2017,"Em um futuro próximo, um cansado Logan cuida do doente Professor Xavier em um esconderijo na fronteira mexicana. Mas as tentativas de Logan de se...",Ação
361,Mad Max: Estrada da Fúria,2015,"Em um mundo apocalíptico, Max Rockatansky acredita que a melhor forma de sobreviver é não depender de ninguém. Porém, após ser capturado pelo...",Ação
362,Harry Potter e a Ordem da Fênix,2007,"Lord Voldemort está de volta, mas o Ministério da Magia está fazendo tudo a seu alcance para impedir que a comunidade mundial de bruxos descubra...",Aventura
363,Como Eu Era Antes de Você,2016,"Will é um garoto rico e bem-sucedido, até sofrer um grave acidente que o deixa preso a uma cadeira de rodas. Ele está profundamente depressivo e...",Drama
364,Na Fronteira 2,2026,"Três soldados idealistas do exército, marinha e força aérea indianos enfrentam condições de combate extenuantes neste filme ambientado durante a...",Ação
365,Sociedade dos Poetas Mortos,1989,"Em 1959 na Welton Academy, uma tradicional escola preparatória, um ex-aluno se torna o novo professor de literatura, mas logo seus métodos de...",Drama
366,Anônimo,2021,"Quando dois ladrões invadem sua casa no subúrbio uma noite, Hutch se recusa a defender a si mesmo ou a sua família, na esperança de evitar...",Ação
367,Princesa Mononoke,1997,"Um príncipe infectado por uma doença sabe que irá morrer, a menos que encontre a cura. Sendo a sua última esperança, segue para o leste e, durante...",Aventura
368,O Jogo da Imitação,2014,"Em 1939, a recém-criada agência de inteligência britânica MI6 recruta Alan Turing, um aluno da Universidade de Cambridge, para entender códigos...",História
369,Thor: Ragnarok,2017,"Thor está preso do outro lado do universo. Ele precisa correr contra o tempo para voltar a Asgard e parar Ragnarok, a destruição de seu mundo, que...",Ação
370,O Predador,1987,"O major Alan ""Dutch"" Schaefer lidera uma equipe de resgate em uma selva da América Central, para tentar encontrar um ministro estrangeiro e...",Ficção
371,Toy Story 3,2010,"Woody, Buzz e o resto dos brinquedos de Andy não são usados há anos. Com Andy prestes a ir para a faculdade, o grupo acaba por ser deixado...",Animação
372,Gato de Botas 2: O Último Pedido,2022,"O Gato de Botas descobre que sua paixão pela aventura cobrou seu preço: ele queimou oito de suas nove vidas, deixando-o com apenas uma vida...",Animação
373,O Predador: A Caçada,2022,"Ambientado há 300 anos na Nação Comanche, esta é a história de Naru, uma guerreira destemida e hábil, criada na sombra dos lendários caçadores que...",Suspense
374,Os Goonies,1985,"Após encontrar um mapa do tesouro no sótão de sua casa, Mickey, Brand, Bocão (Mouth), Dado (Data) e Gordo (Chunk) partem em busca do tesouro de...",Aventura
375,Gladiador 2,2024,"Anos depois de testemunhar a trágica morte do reverenciado herói Maximus nas mãos de seu tio malvado, Lucius se vê forçado a lutar no Coliseu...",Ação
376,Infidelidade,2002,"Num subúrbio de Nova York, Connie Sumner (Diane Lane) leva uma vida feliz e segura ao lado de Edward (Richard Gere), com quem está casada há 11...",Suspense
377,A Única Saída,2025,"Um homem é demitido da empresa de papel onde trabalhou por 25 anos. Algum tempo depois, ainda desempregado, encontra uma solução: eliminar...",Comédia
378,Alien: Romulus,2024,"Enquanto vasculham as profundezas de uma estação espacial abandonada, um grupo de jovens colonizadores espaciais se depara com a forma de vida...",Terror
379,A Substância,2024,"Uma estrela em declínio descobre uma substância misteriosa que lhe permite criar uma versão mais jovem e perfeita de si mesma. No entanto, o que...",Terror
380,9 Canções,2004,"Londres, verão de 2003. Matt conhece Lisa, uma jovem estudante americana, em meio a um show. Eles logo se apaixonam, vivendo um intenso...",Drama
381,Liga da Justiça de Zack Snyder,2021,"Determinado a garantir que o sacrifício final do Superman não foi em vão, Bruce Wayne alinha forças com Diana Prince com planos de recrutar uma...",Ação
382,Dilwale vai levar a noiva,1995,"Raj e Simran são dois jovens indianos vivendo em Londres que, acidentalmente, se conhecem durante uma viagem pela Europa. Eles se apaixonam, mas...",Comédia
383,Aliens: O Resgate,1986,"Cinquenta e quatro anos após escapar da ""Nostromo"", a tenente Ripley é encontrada a flutuar, perdida no espaço, ainda adormecida. De volta ao...",Ação
384,Trocando as Bolas,1983,O que pode acontecer quando um magnata de Wall Street encontra um esperto mendigo de rua? Esta é a história de um malandro que troca seu estilo de...,Comédia
385,Todo Mundo em Pânico,2026,"Vinte e seis anos depois de escaparem de um assassino mascarado suspeitosamente familiar, o Quarteto Fantástico está de volta à mira do criminoso,...",Comédia
386,Capitão América: Admirável Mundo Novo,2025,"Após se encontrar com o recém-eleito presidente dos EUA, Thaddeus Ross, Sam se vê no meio de um incidente internacional. Ele deve descobrir o...",Ação
387,10 Coisas Que Eu Odeio em Você,1999,"Em seu primeiro dia na nova escola, Cameron se apaixona por Bianca. Mas ela só poderá sair com rapazes até que Kat, sua irmã mais velha, arrume um...",Comédia
388,Heel,2026,"Um criminoso de 19 anos, Tommy, é sequestrado e forçado a se reabilitar por um casal disfuncional, Chris e Kathryn, que tentam transformá-lo em um...",Suspense
389,Piratas do Caribe: No Fim do Mundo,2007,"Will Turner e Elizabeth Swann unem forças com o Capitão Barbossa para libertarem Jack Sparrow da prisão de Davy Jones. Enquanto isso, a tripulação...",Aventura
390,Aladdin,1992,"Após o sultão ordenar que sua filha, a princesa Jasmine, ache um marido rapidamente, ela foge do palácio. Jasmine encontra um tipo meio malandro,...",Animação
391,Ted,2012,"Quando criança, John desejou que seu ursinho Ted ganhasse vida e, surpreendentemente, foi atendido. Porém, agora que é adulto, ele precisa lidar...",Comédia
392,Observadores,2021,"Depois de se mudarem para um lindo apartamento no centro de Montreal, um jovem casal começa a se interessar cada vez mais pela vida sexual de seus...",Suspense
393,Guardiões da Galáxia: Vol. 3,2023,"Peter Quill, que ainda está se recuperando da perda de Gamora, tem que reunir a sua equipe para defender o universo e proteger um dos seus. Uma...",Ficção
394,Gente Grande,2010,"A morte do treinador de basquete da infância de velhos amigos os reúne no mesmo lugar que celebraram um campeonato anos atrás. Os amigos,...",Comédia
395,Corações de Ferro,2014,"Durante o final da Segunda Guerra Mundial, um grupo de cinco soldados americanos é encarregado de atacar os nazistas dentro da própria Alemanha....",Guerra
396,Agente Zeta,2026,Quatro ex-agentes do serviço secreto espanhol são assassinados simultaneamente ao redor do mundo. A CNI descobre que todos participaram da...,Drama
397,O Espetacular Homem-Aranha,2012,Peter Parker está tentando saber mais sobre sua origem. Ele encontra uma pasta que pertenceu ao seu pai e quer descobrir por que seus pais...,Ação
398,Flow,2024,"Gato é um animal solitário, mas quando seu lar é destruído por uma grande inundação, ele encontra refúgio em um barco habitado por diversas...",Aventura
399,Icefall: Saque no Gelo,2025,"A história gira em torno de um guarda florestal nativo americano, que captura um famoso caçador apenas para descobrir que ele sabe a localização...",Ação
400,Piratas do Caribe: Navegando em Águas Misteriosas,2011,"O passado do capitão Jack Sparrow volta a alcançá-lo quando ele cruza com Angelica, uma bonita pirata que Jack, um dia, amou e depois abandonou....",Aventura
401,Star Wars: O Despertar da Força,2015,"A queda de Darth Vader e do Império levou ao surgimento de uma nova força sombria: a Primeira Ordem. Eles procuram o jedi Luke Skywalker,...",Aventura
402,Pets: A Vida Secreta dos Bichos 2,2019,Max se vê enganado por Katie no primeiro trailer da animação e acaba dentro de uma clínica veterinária onde os pets não parecem nada normais....,Família
403,Branca de Neve,2025,"Quando a Rainha Má manda matarem sua enteada por inveja de sua beleza, Branca de Neve foge do reino. Ela percorre a floresta e acha uma casinha...",Família
404,Vingadores: Doutor Destino,2026,"Os Vingadores, Wakandanos, Quarteto Fantástico, Thunderbolts e X-Men lutam contra o Doutor Destino. Enredo a ser definido.",Ficção
405,2012,2009,"Bilhões de habitantes da Terra não estão cientes de que o planeta tem uma data de expiração. Com os avisos de um cientista norte-americano, os...",Ação
406,Um Estranho no Ninho,1975,"Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção...",Drama
407,Kraven: O Caçador,2024,"Sergei Kravinoff é um grande caçador, que toma um soro mágico que lhe dá habilidades sobre-humanas e uma vida mais longa.",Ação
408,Elementos,2023,"Em uma cidade onde moradores do fogo, da água, da terra e do ar vivem juntos, uma jovem impetuosa e um homem tranquilo estão prestes a descobrir...",Animação
409,O Homem que Encolheu,2025,"Acompanha um homem ordinário que divide seu tempo entre sua empresa de construção de navios, sua mulher e sua filha. Durante uma campanha no mar,...",Aventura
410,Os Incríveis,2004,"Beto Pêra e sua mulher Helena estavam entre os maiores super-heróis do mundo, salvando inúmeras vidas e combatendo o mal diariamente. Quinze anos...",Ação
411,Star Wars: A Ascensão Skywalker,2019,"Com o retorno do Imperador Palpatine, todos voltam a temer seu poder e, com isso, a Resistência toma a frente da batalha que ditará os rumos da...",Aventura
412,Tubarão,1975,"Um terrível ataque a banhistas é o sinal de que a praia da pequena cidade de Amity virou refeitório de um gigantesco tubarão branco, que começa a...",Terror
413,Oscar Shaw,2026,"Depois de se aposentar da polícia, um detetive decide vingar a morte de seu melhor amigo, fazendo justiça com as próprias mãos nas ruas, algo que...",Ação
414,Corra Que a Polícia Vem Aí!,2025,Apenas um homem tem as habilidades necessárias para liderar o Esquadrão Policial e salvar o mundo.,Ação
