id,nome,ano,sinopse,genero
40,Pânico 7,2026,"Quando um novo Ghostface surge na pacata cidade onde Sidney Prescott reconstruiu sua vida, seus medos mais sombrios se tornam reais enquanto sua...",Terror
41,Apocalypto,2006,"Jaguar Paw levava uma vida tranquila, que foi interrompida devido à uma invasão. Os governantes de um império maia em declínio acreditavam que a...",Ação
42,Destruição Final 2,2026,"Tendo encontrado a segurança do bunker da Groenlândia depois que o cometa Clarke dizimou a Terra, a família Garrity deve agora arriscar tudo para...",Aventura
43,Não Tenho Troco,1990,"Grimm é um assaltante que, vestido de palhaço, assalta um banco em companhia da sua namorada Phyllis e de um amigo, Loomis, que o ajudaram na...",Comédia
44,As Marvels,2023,"Quando suas obrigações a levam a uma fenda espacial anômala ligada a um revolucionário Kree, os poderes de Carol Danvers, a Capitã Marvel, se...",Ficção
45,Wormtown,2025,"Quando um culto que adora parasitas que alteram a mente toma conta de uma pequena cidade, um trio de mulheres enrustidas é arrastado para uma luta...",Ficção
46,Mortal Kombat,2021,O lutador de MMA Cole Young deve treinar para liberar seu verdadeiro poder para unir-se aos maiores campeões mundiais contra inimigos da Exoterra...,Ação
47,Bola pra Cima,2026,"Nesta comédia, os executivos de marketing Brad e Elijah se arriscam e apresentam uma proposta de patrocínio ousado de uma marca de preservativos...",Comédia
48,O Monstro da Ilha,2025,"Um grupo de caçadores viaja até uma misteriosa ilha para procurar por uma criatura lendária, mas descobrem que estão sendo usados como isca.",Terror
49,Ninfomaniaca: Volume 2,2013,"Bastante machucada e largada em um beco, Joe (Charlotte Gainsbourg) é encontrada por um homem mais velho, Seligman (Stellan Skarsgard), que lhe...",Drama
50,Super Mario Bros. O Filme,2023,"Transportados do Brooklyn para o Reino Cogumelo num passe de mágica, dois corajosos encanadores conhecem uma princesa e combatem um tirano que...",Família
51,A História de Michael Jackson,2004,Man in the Mirror: The Michael Jackson Story conta a história de Michael Jackson desde a sua humilde origem em um subúrbio de Chicago até a...,Drama
52,The Mortuary Assistant,2026,"Rebecca Owens, recém-formada em ciências mortuárias, aceita um emprego noturno na funerária River Fields. O que começa como um trabalho rotineiro...",Terror
53,Um Sonho de Liberdade,1994,"Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu,...",Drama
54,O Atirador: Sem Nação,2026,"Perseguidos por mercenários, Brandon Beckett e seu lendário pai realizam um resgate impossível.",Ação
55,Vingadora,2026,"Nikki é uma ex-militar que lutou nos piores campos de batalha da guerra, mas nada se compara à dor de ter sua filha sequestrada. Caçada por...",Ação
56,Pornhub: Sexo Bilionário,2023,"Com depoimentos de artistas, defensores de sobreviventes de exploração sexual e ex-funcionários, este documentário mostra em detalhes os sucessos...",Documentário
57,Máquina de Guerra,2026,"Em sua última missão de treinamento, um engenheiro de combate precisa liderar sua equipe de elite em uma luta pela sobrevivência contra uma...",Ação
58,Aluna Exemplar e Estrela Pornô,2017,"Miriam Weeks, também conhecida como Belle Knox, ganhou notoriedade por estrelar em filmes pornográficos para pagar suas despesas na Duke...",Drama
59,Os Vingadores: The Avengers,2012,"Loki, o irmão de Thor, ganha acesso ao poder ilimitado do cubo cósmico ao roubá-lo de dentro das instalações da S.H.I.E.L.D. Nick Fury, o diretor...",Ficção
60,Michael Jackson: Searching for Neverland,2017,O que aconteceu com Michael Jackson? Esta é a história dos últimos dias do Rei do Pop e dos problemas que o levaram à morte,Drama
61,After: Depois do Desencontro,2021,"Embora a história de amor entre Tessa Young e Hardin Scott tenha passado por muitas complicações, desta vez o problema é mais complexo do que...",Drama
62,As Ovelhas Detetives,2026,"George é um pastor que lê romances policiais para suas queridas ovelhas todas as noites, acreditando que elas não conseguem entender. Mas, quando...",Comédia
63,“O Morro dos Ventos Uivantes”,2026,"O órfão Heathcliff é acolhido ainda criança pela família Earnshaw e apaixona-se pela pequena Catherine. O afeto, embora correspondido,...",Romance
64,Vingadores: Guerra Infinita,2018,"Homem de Ferro, Thor, Hulk e os Vingadores se unem para combater seu inimigo mais poderoso, o maligno Thanos. Em uma missão para coletar todas as...",Aventura
65,The Whisper,2026,"Fugindo de seu pai violento, os irmãos Lucía e Adrián se refugiam em uma mansão isolada. Com a ajuda de uma microcâmera escondida em um gato,...",Terror
66,Uma Cura de Outro Mundo,2025,"Durante a sua lua de mel, Nick encontra uma criatura alienígena no meio da floresta e decide usar os seus poderes para tentar curar a doença...",Ficção
67,Michael Jackson - A Vida de Um Ícone,2011,"Imagens inéditas, entrevistas, fotos e vídeos de performances que contam a vida de Michael Jackson. Diversos relatos de histórias públicas e...",Documentário
68,Anaconda,2025,"Uma crise de meia-idade inspira Doug e Griff a irem até a floresta amazônica para refazer o filme favorito da juventude, mas tudo muda quando uma...",Aventura
69,A Odisseia,2026,"Uma adaptação do poema de Homero de mesmo nome. Filmado em todo o mundo, este épico de ação mítico segue Odisseu enquanto ele embarca em uma...",Aventura
70,Boneco do Mal,2016,"Greta é uma jovem americana que aceita um trabalho como babá em uma pequena vila inglesa. Porém, o garoto de 8 anos de quem ela tem que cuidar é,...",Terror
71,F1: O Filme,2025,"Sonny Hayes, a lenda do automobilismo, é persuadido a deixar a aposentadoria para liderar uma equipe de Fórmula 1 em dificuldades—e ser mentor de...",Ação
72,O Poderoso Chefão,1972,"Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes...",Drama
73,O Genro,2026,"Depois de seguir um caminho difícil, José Sánchez se torna um temido operador político. Mas, desta vez, seu bigode marcante e a língua afiada não...",Comédia
74,Monstro a Bordo,2024,"O Dr. Sigh tenta trazer uma misteriosa criatura de uma terra distante para a Alemanha. Mas após o avião ser atingido por uma turbulência, a...",Terror
75,Minha Culpa,2023,"Noah é obrigada a mudar de cidade, deixando seus amigos e namorado para trás, após sua mãe se casar com um novo marido rico. Lá ela conhece Nick,...",Drama
76,Influencers,2025,"Tentando deixar seu passado sombrio para trás, a perigosa CW vive agora uma vida tranquila e idílica no sul da França ao lado de sua namorada,...",Terror
77,Invocação do Mal 4: O Último Ritual,2025,O casal de investigadores Ed e Lorraine Warren assume um novo caso de horror sobrenatural que os força a um confronto derradeiro. Para vencer esta...,Terror
78,Uma História de Sobrevivência,2023,A notável história real de sobrevivência de um menino judeu que se esconde e é caçado nas florestas da Europa Oriental ocupada pelos nazistas.,Drama
79,"Para Eles, Com Muito Amor",1991,"A história dos comediantes e cantores Eddie Sparks e Dixie Leonard, que levaram diversão aos soldados da II Guerra Mundial, Coreia e Vietnã....",Drama
80,Maldição da Múmia,2026,"A filha de um jornalista desaparece num deserto sem deixar rastros, deixando a família dilacerada e em luto. Até que, oito anos mais tarde, a...",Terror
81,Lindas e Letais,2026,"Um thriller repleto de ação no qual cinco bailarinas, perdidas em uma floresta remota a caminho de uma competição de dança, encontram abrigo em...",Música
82,Guerreiras do K-Pop,2025,"Quando não estão lotando estádios, as estrelas do K-pop Rumi, Mira e Zoey usam seus poderes secretos para proteger os fãs contra ameaças...",Fantasia
83,A Origem,2010,Cobb é um ladrão habilidoso que comete espionagem corporativa infiltrando-se no subconsciente de seus alvos durante o estado de sono. Impedido de...,Ação
84,Matrix,1999,O jovem programador Thomas Anderson é atormentado por estranhos pesadelos em que está sempre conectado por cabos a um imenso sistema de...,Ação
85,Pulp Fiction: Tempo de Violência,1994,"Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster....",Suspense
86,Parasita,2019,"Toda a família de Ki-taek está desempregada, vivendo num porão sujo e apertado. Uma obra do acaso faz com que o filho adolescente da família...",Comédia
87,Preparada para a Guerra,2025,"Cinco anos após uma ruptura na realidade trazer criaturas aterrorizantes para o nosso mundo, a civilização entrou em colapso. A trama acompanha um...",Ficção
88,O Senhor dos Anéis: O Retorno do Rei,2003,O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra-Média se aproxima. Sauron planeja um grande ataque a...,Aventura
89,Jovem e Bela,2013,"Depois de perder a virgindade, Isabelle assume uma vida secreta como garota de programa, conhecendo seus clientes para encontros em quartos de...",Drama
90,Ataque Brutal,2026,"Em meio a um furacão devastador, uma comunidade costeira luta pela sobrevivência, assolada não apenas pelas forças destrutivas da natureza, mas...",Terror
91,A Iniciação,1986,O filme mostra a iniciação sexual de Roger um menino de 16 anos que passa férias em uma mansão cheia de mulheres.,Comédia
92,Extermínio: O Templo dos Ossos,2026,Dr. Kelson se vê envolvido num novo relacionamento chocante – com consequências que podem mudar o mundo como eles o conhecem – e o encontro de...,Terror
93,Batman: O Cavaleiro das Trevas,2008,"Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor...",Ação
94,Homem-Aranha: Sem Volta Para Casa,2021,Peter Parker é desmascarado e não consegue mais separar sua vida normal dos grandes riscos de ser um super-herói. Quando ele pede ajuda ao Doutor...,Ação
95,Truque de Mestre: O 3° Ato,2025,"Os Quatro Cavaleiros estão de volta com uma nova geração de ilusionistas e uma trama cheia de reviravoltas, mágicas e surpresas, em um truque que...",Crime
96,O Limite do Prazer,2023,"Quando o recluso Franklin trai sua garota com uma mulher misteriosa que ele conhece em um aplicativo de namoro, isso se torna o início de uma...",Suspense
97,Mike & Nick & Nick & Alice,2026,"Uma comédia de ação hilária e estilizada, para maiores de 18 anos, sobre dois gângsteres e a mulher que eles amam, tentando sobreviver à noite...",Comédia
98,Jurassic World: Recomeço,2025,"Cinco anos após os eventos de Jurassic World: Domínio, a ecologia do planeta se mostrou inóspita para os dinossauros, com os poucos sobreviventes...",Ficção
99,Starbright,2026,"Uma jovem órfã escapa da realidade fantasiando com um mundo de conto de fadas, até que acaba entrando nele.",Aventura
100,Deadpool & Wolverine,2024,"Um apático Wade Wilson trabalha duro na vida civil. Seus dias como mercenário moralmente flexível, Deadpool, ficaram para trás. Quando seu planeta...",Ação
101,"Da Toscana, com Amor",2026,"Baseado no best-seller de Felicia Kingsley, Elisa (34) e Michele (32) são muito diferentes. Ela é uma mãe jovem, solteira, dedicada ao trabalho....",Romance
102,Peter Pan,1953,"Deixando o conforto e segurança de seus lares, Wendy, Miguel e João seguem Peter Pan para um mundo mágico onde a infância dura para sempre, a...",Animação
103,180,2026,"Depois que um incidente no trânsito deixa seu filho em estado crítico, um pai com sangue nos olhos embarca em um caminho sombrio de caos e vingança.",Suspense
104,Dinheiro Suspeito,2026,"Quando uma equipe de policiais de Miami encontra milhões de dólares em um muquifo usado como esconderijo, a confiança fica abalada e todos viram...",Ação
105,A Viagem de Chihiro,2001,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa...",Animação
106,Forrest Gump: O Contador de Histórias,1994,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra...",Comédia
107,Top Gun: Maverick,2022,"Depois de mais de 30 anos de serviço como um dos principais aviadores da Marinha, Pete ""Maverick"" Mitchell está de volta, rompendo os limites como...",Ação
108,Truque de Mestre: O 3° Ato,2025,"Os Quatro Cavaleiros estão de volta com uma nova geração de ilusionistas e uma trama cheia de reviravoltas, mágicas e surpresas, em um truque que...",Crime
109,Pecadores,2025,"Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à sua cidade natal para recomeçar suas vidas do zero, quando descobrem...",Terror
110,Justiça Artificial,2026,"Em um futuro próximo, um detetive é acusado de assassinar a própria esposa. Ele tem 90 minutos para provar sua inocência à avançada justiça de...",Ficção
111,Terror em Silent Hill: Regresso Para o Inferno,2026,"Quando uma carta misteriosa chama James de volta a Silent Hill em busca de seu verdadeiro amor, ele encontra uma cidade antes reconhecível,...",Mistério
112,Secretária,2002,"Uma jovem acaba de receber alta de um hospital psiquiátrico e consegue um trabalho como secretária de um advogado exigente. Lentamente, sua...",Romance
113,Os Bons Companheiros,1990,"A história real de Henry Hill, um garoto meio irlandês e meio siciliano do Brooklyn que é adotado por gangsters do bairro ainda jovem e sobe na...",Drama
